t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.102,0.101305,0.984956,0.017893,0.000176925,0.00411045,-0.0472521,-0.00236773,0.0193163,0.0965982,-0.00229249,0.0726759,-0.323767,-0.0417485,0.0225514,35.5465,35.5465,35,35.5465,35.5465,35,35.5346,35.5346,35,35.5465,35.5465,35,0.0744773,-0.021956,0.357526,0.0565842,-0.0221329,0.353416,0.9604,0.9604,0.9604,0.9604
0.104,0.103274,0.984626,0.0180759,0.000170948,0.00425751,-0.0481782,-0.00247955,0.0193791,0.0914362,-0.0029885,0.0735297,-0.32207,-0.0437937,0.0187942,35.5584,35.5584,35,35.5584,35.5584,35,35.5465,35.5465,35,35.5584,35.5584,35,0.0742926,-0.021962,0.35751,0.0562167,-0.0221329,0.353253,0.9604,0.9604,0.9604,0.9604
0.106,0.105242,0.984297,0.018442,0.000170948,0.00442356,-0.0490995,-0.00259701,0.0194311,0.183049,0,0.083021,-0.343048,-0.0075769,-0.000546557,35.5702,35.5702,35,35.5702,35.5702,35,35.5584,35.5584,35,35.5702,35.5702,35,0.0741198,-0.0219685,0.357495,0.0558506,-0.0221329,0.353087,0.9604,0.9604,0.9604,0.9604
0.108,0.10721,0.983969,0.0186235,0.000163999,0.0045761,-0.0500798,-0.0026091,0.0194303,0.0907402,-0.00347483,0.0762735,-0.320729,-0.0436488,0.0161618,35.5821,35.5821,35,35.5821,35.5821,35,35.5702,35.5702,35,35.5821,35.5821,35,0.0741094,-0.0219689,0.357494,0.0554859,-0.0221329,0.352918,0.9604,0.9604,0.9604,0.9604
0.11,0.109178,0.98364,0.0187838,0.000155138,0.00472903,-0.0509973,-0.00272603,0.0194747,0.0801481,-0.00443049,0.0764653,-0.312552,-0.0469148,0.0155698,35.594,35.594,35,35.594,35.594,35,35.5821,35.5821,35,35.594,35.594,35,0.0739066,-0.0219778,0.357475,0.0551228,-0.0221329,0.352746,0.9604,0.9604,0.9604,0.9604
0.112,0.111144,0.983312,0.0189317,0.000144338,0.00488275,-0.0518916,-0.00285246,0.0195171,0.0739409,-0.00539967,0.076859,-0.308411,-0.0479267,0.0128598,35.6059,35.6059,35,35.6059,35.6059,35,35.594,35.594,35,35.6059,35.6059,35,0.0736929,-0.0219886,0.357454,0.0547612,-0.0221329,0.352571,0.9604,0.9604,0.9604,0.9604
0.114,0.11311,0.982984,0.0192918,0.000144338,0.00506023,-0.052774,-0.00298171,0.0195517,0.180047,0,0.0887414,-0.342089,-0.00760101,-0.000659977,35.6178,35.6178,35,35.6178,35.6178,35,35.6059,35.6059,35,35.6178,35.6178,35,0.0734803,-0.0220006,0.357432,0.0544011,-0.0221329,0.352394,0.9604,0.9604,0.9604,0.9604
0.116,0.115076,0.982656,0.0194256,0.00013156,0.00521747,-0.0537516,-0.00299383,0.0195508,0.0669399,-0.00638914,0.07862,-0.304984,-0.0499283,0.0102345,35.6296,35.6296,35,35.6296,35.6296,35,35.6178,35.6178,35,35.6296,35.6296,35,0.0734682,-0.0220013,0.357431,0.0540425,-0.0221329,0.352214,0.9604,0.9604,0.9604,0.9604
0.118,0.11704,0.982328,0.019547,0.000116813,0.00537542,-0.0546243,-0.00312871,0.0195776,0.0607002,-0.00737355,0.0789746,-0.301961,-0.0522786,0.00773296,35.6415,35.6415,35,35.6415,35.6415,35,35.6296,35.6296,35,35.6415,35.6415,35,0.0732326,-0.0220161,0.357406,0.0536856,-0.0221329,0.352031,0.9604,0.9604,0.9604,0.9604
0.12,0.119004,0.982001,0.0199024,0.000116813,0.00556134,-0.0554884,-0.0032702,0.0195971,0.17768,0,0.0929569,-0.341349,-0.00760337,-0.000745053,35.6534,35.6534,35,35.6534,35.6534,35,35.6415,35.6415,35,35.6534,35.6534,35,0.0731944,-0.0220186,0.357402,0.0533302,-0.0221329,0.351845,0.9604,0.9604,0.9604,0.9604
0.122,0.120968,0.981674,0.0200097,0.000100117,0.00572283,-0.0564639,-0.00328231,0.0195961,0.0536369,-0.0083481,0.0807453,-0.298803,-0.054696,0.00534982,35.6653,35.6653,35,35.6653,35.6653,35,35.6534,35.6534,35,35.6653,35.6653,35,0.0729862,-0.0220328,0.357379,0.0529765,-0.0221329,0.351656,0.9604,0.9604,0.9604,0.9604
0.124,0.12293,0.981347,0.0201044,8.14931e-05,0.00588511,-0.0573191,-0.00343061,0.0196085,0.0473571,-0.0093118,0.0811418,-0.295978,-0.0571268,0.00307686,35.6772,35.6772,35,35.6772,35.6772,35,35.6653,35.6653,35,35.6772,35.6772,35,0.0727288,-0.0220514,0.35735,0.0526244,-0.0221329,0.351464,0.9604,0.9604,0.9604,0.9604
0.126,0.124892,0.98102,0.0201865,6.09649e-05,0.00604823,-0.0581663,-0.00358576,0.0196142,0.0410604,-0.0102641,0.0815578,-0.293221,-0.0595479,0.000907808,35.689,35.689,35,35.689,35.689,35,35.6772,35.6772,35,35.689,35.689,35,0.0724605,-0.0220719,0.357318,0.052274,-0.0221329,0.35127,0.9604,0.9604,0.9604,0.9604
0.128,0.126854,0.980693,0.0205353,6.09649e-05,0.00624517,-0.0590057,-0.00374771,0.0196135,0.174377,0,0.0984738,-0.340335,-0.007592,-0.000890221,35.7009,35.7009,35,35.7009,35.7009,35,35.689,35.689,35,35.7009,35.7009,35,0.0724605,-0.0220719,0.357318,0.0519252,-0.0221329,0.351073,0.9604,0.9604,0.9604,0.9604
0.13,0.128814,0.980367,0.0206031,3.85537e-05,0.00641187,-0.0599783,-0.0037598,0.0196122,0.033894,-0.0112056,0.0833465,-0.290271,-0.0619655,-0.00116517,35.7128,35.7128,35,35.7128,35.7128,35,35.7009,35.7009,35,35.7128,35.7128,35,0.0721812,-0.0220943,0.357285,0.0515781,-0.0221329,0.350874,0.9604,0.9604,0.9604,0.9604
0.132,0.130774,0.980041,0.0206737,1.56038e-05,0.0065813,-0.0608094,-0.00392858,0.0196053,0.0353247,-0.0114749,0.084714,-0.290439,-0.0613463,-0.00298625,35.7247,35.7247,35,35.7247,35.7247,35,35.7128,35.7128,35,35.7247,35.7247,35,0.0719065,-0.0221173,0.357253,0.0512328,-0.0221329,0.350671,0.9604,0.9604,0.9604,0.9604
0.134,0.132734,0.979715,0.0210173,1.56038e-05,0.00678636,-0.0616409,-0.00409542,0.0195932,0.17179,0,0.102531,-0.339553,-0.00757215,-0.000995243,35.7366,35.7366,35,35.7366,35.7366,35,35.7247,35.7247,35,35.7366,35.7366,35,0.0719065,-0.0221173,0.357253,0.0508892,-0.0221329,0.350466,0.9604,0.9604,0.9604,0.9604
0.136,0.134693,0.979389,0.0210585,-1.04166e-05,0.00695754,-0.0626112,-0.00410748,0.0195918,0.0205932,-0.0130102,0.0855899,-0.284906,-0.0667117,-0.00495037,35.7484,35.7484,35,35.7484,35.7484,35,35.7366,35.7366,35,35.7484,35.7484,35,0.0716059,-0.0221433,0.357216,0.0505474,-0.0221329,0.350258,0.9604,0.9604,0.9604,0.9604
